trilha;curso;curso_id;modulo;aula;aula_id;ord;tipo;duracao_min;resolucoes;n_extras;url_aula;m3u8_principal;video_uuid
Integração Backend Xano + Bubble | App Filmes;M2.2 Planejamento Projeto Backend Xano + Bubble;240;Introdução ao Módulo e Projeto;Introdução;2561;1;video;3.1;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2561;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/a7526d91-6287-4ff5-a22b-06f29e178351/playlist.m3u8;a7526d91-6287-4ff5-a22b-06f29e178351
Integração Backend Xano + Bubble | App Filmes;M2.2 Planejamento Projeto Backend Xano + Bubble;240;;Conta pra gente, o que achou desse módulo?;4646;4;formulario;0.0;;0;https://flix.nocodestartup.io/m/lessons/4646;;
Integração Backend Xano + Bubble | App Filmes;M2.2 Planejamento Projeto Backend Xano + Bubble;240;Projeto Prático Backend Xano;Modelagem De Dados No Xano;2562;1;video;11.1;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2562;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/581450fc-f954-45e4-82ed-bfd2d2b55c56/playlist.m3u8;581450fc-f954-45e4-82ed-bfd2d2b55c56
Integração Backend Xano + Bubble | App Filmes;M2.2 Planejamento Projeto Backend Xano + Bubble;240;Projeto Prático Backend Xano;Upload Arquivo Csv;2563;2;video;2.2;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2563;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/4b06f8ea-e02f-4ee5-b6e3-cf927ba32e1d/playlist.m3u8;4b06f8ea-e02f-4ee5-b6e3-cf927ba32e1d
Integração Backend Xano + Bubble | App Filmes;M2.2 Planejamento Projeto Backend Xano + Bubble;240;API Endpoints Xano;Criando Api Endpoints;2564;1;video;7.8;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2564;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/165b4c9c-b8ad-479e-b14d-1c2c4d721524/playlist.m3u8;165b4c9c-b8ad-479e-b14d-1c2c4d721524
Integração Backend Xano + Bubble | App Filmes;M2.2 Planejamento Projeto Backend Xano + Bubble;240;API Endpoints Xano;Ajustes Api Endpoints Para Upload De Imagens No Xano;2565;2;video;9.0;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2565;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/17b27031-a333-40a1-b93f-9d4c6b54bd4c/playlist.m3u8;17b27031-a333-40a1-b93f-9d4c6b54bd4c
Integração Backend Xano + Bubble | App Filmes;M2.2 Planejamento Projeto Backend Xano + Bubble;240;Fechamento e Aprendizados;Fechamento E Aprendizados;2566;1;video;1.9;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2566;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/01b9684a-2e77-4281-af51-cf6190b7d9ca/playlist.m3u8;01b9684a-2e77-4281-af51-cf6190b7d9ca
Integração Backend Xano + Bubble | App Filmes;M3.1 - Integração Xano e Bubble | App de Filmes;241;Introdução;Introdução e Apresentação do App;2567;1;video;3.5;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2567;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/fced9a57-0709-4c80-bcc2-e3e9c6c49bde/playlist.m3u8;fced9a57-0709-4c80-bcc2-e3e9c6c49bde
Integração Backend Xano + Bubble | App Filmes;M3.1 - Integração Xano e Bubble | App de Filmes;241;Introdução;Possíveis Formas de Integrar Bubble com Xano;2568;2;video;2.0;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2568;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/7e73d3a4-e98f-4d89-983b-d136921a13ca/playlist.m3u8;7e73d3a4-e98f-4d89-983b-d136921a13ca
Integração Backend Xano + Bubble | App Filmes;M3.1 - Integração Xano e Bubble | App de Filmes;241;Introdução;Avisos e Links dos Editores Modelos;2569;3;video;2.3;640x360/842x480/1280x720/1920x1080;0;https://flix.nocodestartup.io/m/lessons/2569;https://b-vz-5d8b4169-07f.tv.pandavideo.com.br/ec2c344b-21c8-43cb-b070-92fc004e4752/playlist.m3u8;ec2c344b-21c8-43cb-b070-92fc004e4752
